Column,Null Values %
verification_status_joint,100.0
annual_inc_joint,100.0
mo_sin_old_rev_tl_op,100.0
mo_sin_old_il_acct,100.0
bc_util,100.0
bc_open_to_buy,100.0
avg_cur_bal,100.0
acc_open_past_24mths,100.0
inq_last_12m,100.0
total_cu_tl,100.0
inq_fi,100.0
total_rev_hi_lim,100.0
all_util,100.0
max_bal_bc,100.0
open_rv_24m,100.0
open_rv_12m,100.0
il_util,100.0
total_bal_il,100.0
mths_since_rcnt_il,100.0
open_il_24m,100.0
open_il_12m,100.0
open_il_6m,100.0
open_acc_6m,100.0
tot_cur_bal,100.0
tot_coll_amt,100.0
mo_sin_rcnt_rev_tl_op,100.0
mo_sin_rcnt_tl,100.0
mort_acc,100.0
num_rev_tl_bal_gt_0,100.0
total_bc_limit,100.0
total_bal_ex_mort,100.0
tot_hi_cred_lim,100.0
percent_bc_gt_75,100.0
pct_tl_nvr_dlq,100.0
num_tl_op_past_12m,100.0
num_tl_90g_dpd_24m,100.0
num_tl_30dpd,100.0
num_tl_120dpd_2m,100.0
num_sats,100.0
num_rev_accts,100.0
mths_since_recent_bc,100.0
num_op_rev_tl,100.0
num_il_tl,100.0
num_bc_tl,100.0
num_bc_sats,100.0
num_actv_rev_tl,100.0
num_actv_bc_tl,100.0
num_accts_ever_120_pd,100.0
mths_since_recent_revol_delinq,100.0
mths_since_recent_inq,100.0
mths_since_recent_bc_dlq,100.0
dti_joint,100.0
total_il_high_credit_limit,100.0
mths_since_last_major_derog,100.0
next_pymnt_d,97.12969257496789
mths_since_last_record,92.98537150338646
mths_since_last_delinq,64.66248709620565
desc,32.58554271470655
emp_title,6.191303472064859
emp_length,2.7066495455346575
pub_rec_bankruptcies,1.7549160309187504
last_pymnt_d,0.1787647606818239
collections_12_mths_ex_med,0.1409975577208752
chargeoff_within_12_mths,0.1409975577208752
revol_util,0.12589067653649572
tax_liens,0.09819472769846666
title,0.027695948838029054
last_credit_pull_d,0.0050356270614598285
pymnt_plan,0.0
url,0.0
loan_status,0.0
purpose,0.0
issue_d,0.0
verification_status,0.0
application_type,0.0
annual_inc,0.0
home_ownership,0.0
zip_code,0.0
grade,0.0
installment,0.0
int_rate,0.0
term,0.0
funded_amnt_inv,0.0
funded_amnt,0.0
loan_amnt,0.0
sub_grade,0.0
inq_last_6mths,0.0
addr_state,0.0
dti,0.0
member_id,0.0
acc_now_delinq,0.0
last_pymnt_amnt,0.0
collection_recovery_fee,0.0
recoveries,0.0
total_rec_late_fee,0.0
total_rec_int,0.0
total_rec_prncp,0.0
total_pymnt_inv,0.0
total_pymnt,0.0
out_prncp_inv,0.0
out_prncp,0.0
initial_list_status,0.0
total_acc,0.0
revol_bal,0.0
pub_rec,0.0
open_acc,0.0
delinq_amnt,0.0
policy_code,0.0
earliest_cr_line,0.0
delinq_2yrs,0.0
id,0.0
